ID,Name,City,County,Zip Code,Latitude,Longitude,Landfill Owner Organization(s),Current Landfill Status,Waste_Tons,resize,LFG Collection System In Place?,LFG_Collected,lfg_size,LFG Energy Project Type,Current Year Emission Reductions (MMTCO2e/yr) - Direct,reduction_size,color
2317,"Saline County Landfill, Inc.",Harrisburg,Saline,62946,37.671012,-88.462125,"Republic Services, Inc.",Closed,1269000,4,Yes,0.211,2.532,Unknown,,0,darkblue
524,Herrin Municipal,Herrin,Williamson,,37.776,-89.0055,"City of Herrin, IL",Closed,1980816,4,No,,0,Unknown,,0,tan
490,Southern Illinois Regional LF,De Soto,Jackson,62924,37.8417,-89.258,"Republic Services, Inc.",Open,9591996,10,Yes,2.306,27.672,Unknown,,0,skyblue
2320,West End Disposal Facility,Thompsonville,Saline,62890,37.875604,-88.702646,Landfill L.L.C.,Open,1130413,3,No,,0,Unknown,,0,brown
2312,"Perry Ridge Landfill, Inc.",Du Quoin,Perry,62832,38.035,-89.301,"GERE Properties, Inc.",Open,1068459,3,No,,0,Unknown,,0,brown
2306,Cottonwood Hills LF,Marissa,St. Clair,62257,38.26,-89.78,"Waste Management, Inc.",Open,7880947,9,Yes,1.864,22.368,Unknown,,0,skyblue
2319,Wayne County Landfill,Fairfield,Wayne,62837,38.38,-88.447,"Republic Services, Inc.",Open,1939520,4,No,,0,Unknown,,0,brown
1856,Belleville Sanitary LF,Belleville,St. Clair,62220,38.48359,-90.011824,"Republic Services, Inc.",Closed,2343402,5,Yes,0.121,1.452,Unknown,,0,darkblue
514,Modern Landfill,Belleville,St. Clair,62226,38.48846,-90.02839,"Republic Services, Inc.",Closed,6014100,8,Yes,0.332,3.984,Unknown,,0,darkblue
2316,Salem Municipal Landfill #2,Salem,Marion,62881,38.6165,-88.9453,"City of Salem, IL",Closed,107200,1,No,,0,Unknown,,0,tan
516,Milam Recycling and Disposal Facility,East St. Louis,St. Clair,62201,38.6547,-90.1302,"Waste Management, Inc.",Open,29903905,17,Yes,4.556,54.672,Vehicle Fuel,0.2950,3.54024,skyblue
516,Milam Recycling and Disposal Facility,East St. Louis,St. Clair,62201,38.6547,-90.1302,"Waste Management, Inc.",Open,29903905,17,Yes,4.556,54.672,Reciprocating Engine,,0,skyblue
2311,Sumner Landfill,Sumner,Lawrence,62466,38.7167,-87.8063,"Republic Services, Inc.",Open,2152768,5,No,,0,Unknown,,0,brown
504,Chain of Rocks RDF,Granite City,Madison,62040,38.76235,-90.12949,"Waste Management, Inc.",Closed,5965128,8,Yes,0.486,5.832,Unknown,,0,darkblue
1874,Roxana LF,Edwardsville,Madison,62025,38.8274,-90.0125,"Republic Services, Inc.",Open,28399509,17,Yes,6.63,79.56,Reciprocating Engine,,0,skyblue
1874,Roxana LF,Edwardsville,Madison,62025,38.8274,-90.0125,"Republic Services, Inc.",Open,28399509,17,Yes,6.63,79.56,Vehicle Fuel,,0,skyblue
470,Bond County LF,Greenville,Bond,62246,38.88497,-89.42086,"Republic Services, Inc.",Closed,1581904,4,Yes,0.353,4.236,Unknown,,0,darkblue
503,Alton Municipal Landfill,Godfrey,Madison,62035,38.928,-90.179,"City of Alton, IL",Closed,660557,3,No,,0,Unknown,,0,tan
1873,RCS Landfill,Jerseyville,Jersey,62052,39.08687,-90.31789,"Republic Services, Inc.",Open,584700,2,Yes,,0,Unknown,,0,skyblue
2420,Jerseyville Sanitation Landfill,Jerseyville,Jersey,62052,39.0869,-90.3189,"RCS, Inc.",Closed,,0,No,,0,Unknown,,0,tan
2310,Landfill 33 Ltd.,Effingham,Effingham,62401,39.101,-88.526,Landfill 33 Ltd.,Open,2067302,5,No,,0,Unknown,,0,brown
1877,Litchfield-Hillsboro LF,Litchfield,Montgomery,62056,39.17,-89.615,"Republic Services, Inc.",Open,3234700,6,Yes,0.577,6.924,Unknown,,0,skyblue
472,Coles County Landfill,Charleston,Coles,61920,39.509,-88.267,"Republic Services, Inc.",Closed,824600,3,Yes,0.733,8.796,Unknown,,0,darkblue
471,Five Oaks RDF,Taylorville,Christian,62568,39.54693,-89.29487,"Waste Management, Inc.",Open,13257880,12,Yes,1.446,17.352,Cogeneration,0.1279,1.53432,skyblue
2313,Hickory Ridge Landfill Inc.,Baylis,Pike,62314,39.698,-90.914,"Coulter Companies, Inc.",Open,3805679,6,Yes,1.165,13.98,Unknown,,0,skyblue
501,Valley View Landfill Inc.,Decatur,Macon,62522,39.8245,-89.0432,"Waste Management, Inc.",Open,9890479,10,Yes,1.622,19.464,Unknown,,0,skyblue
501,Valley View Landfill Inc.,Decatur,Macon,62522,39.8245,-89.0432,"Waste Management, Inc.",Open,9890479,10,Yes,1.622,19.464,Reciprocating Engine,,0,skyblue
513,Sangamon Valley Landfill Inc.,Springfield,Sangamon,62707,39.860188,-89.607711,"Republic Services, Inc.",Open,3897948,6,Yes,0.781,9.372,Unknown,,0,skyblue
513,Sangamon Valley Landfill Inc.,Springfield,Sangamon,62707,39.860188,-89.607711,"Republic Services, Inc.",Open,3897948,6,Yes,0.781,9.372,Reciprocating Engine,,0,skyblue
482,Multi-County LF,Villa Grove,Douglas,,39.875,-88.14,Landfill Owner of Multi-County LF,Closed,1307103,4,No,,0,Unknown,,0,tan
469,Quincy Landfills #2 and #3,Quincy,Adams,62301,39.9295,-91.27622,City of Quincy,Closed,2187359,5,No,,0,Unknown,,0,tan
1864,Brickyard Disposal & Recycling Inc.,Danville,Vermilion,61832,40.09966,-87.6163,"Republic Services, Inc.",Open,11091487,11,Yes,2.694,32.328,Reciprocating Engine,,0,skyblue
1864,Brickyard Disposal & Recycling Inc.,Danville,Vermilion,61832,40.09966,-87.6163,"Republic Services, Inc.",Open,11091487,11,Yes,2.694,32.328,Organic Rankine Cycle,,0,skyblue
1864,Brickyard Disposal & Recycling Inc.,Danville,Vermilion,61832,40.09966,-87.6163,"Republic Services, Inc.",Open,11091487,11,Yes,2.694,32.328,Reciprocating Engine,,0,skyblue
1864,Brickyard Disposal & Recycling Inc.,Danville,Vermilion,61832,40.09966,-87.6163,"Republic Services, Inc.",Open,11091487,11,Yes,2.694,32.328,Unknown,,0,skyblue
11060,Urbana Municipal #1,Urbana,Champaign,61801,40.109433,-88.193347,"City of Urbana, IL",Closed,634500,3,No,,0,Unknown,,0,tan
11080,Urbana Municipal #2,Urbana,Champaign,61802,40.109433,-88.193347,"City of Urbana, IL",Closed,235000,2,No,,0,Unknown,,0,tan
481,Clinton Landfill Inc.,Clinton,De Witt,61727,40.114,-88.958,"Coulter Companies, Inc.",Open,8638627,9,Yes,1.871,22.452,Reciprocating Engine,0.1039,1.24692,skyblue
12145,Indian Creek Landfill #2,Hopedale,Tazewell,61747,40.427915,-89.464918,"Coulter Companies, Inc.",Open,4642162,7,Yes,1.067,12.804,Unknown,,0,skyblue
1872,Illinois Landfill Inc.,Hoopeston,Vermilion,60942,40.445375,-87.63883,"Republic Services, Inc.",Open,2497016,5,No,,0,Unknown,,0,brown
1861,Bloomington LF,Bloomington,McLean,61704,40.465,-89.036,,Closed,1000000,3,No,,0,Unknown,,0,tan
500,ADS/McLean County LF #2,Bloomington,McLean,61704,40.466463,-89.030787,"Republic Services, Inc.",Closed,2626797,5,Yes,1.096,13.152,Unknown,,0,darkblue
499,Envirofil of Illinois Inc.,Macomb,McDonough,61455,40.484333,-90.638,"Waste Management, Inc.",Open,4282481,7,Yes,0.368,4.416,Unknown,,0,skyblue
517,Pekin Metropolitan Landfill,Pekin,Tazewell,61554,40.5664,-89.6282,Smith family,Closed,3329169,6,No,,0,Unknown,,0,tan
2318,Spoon Ridge Landfill,Fairview,Fulton,61432,40.6558,-90.1634,"Republic Services, Inc.",Closed,285603,2,No,,0,Unknown,,0,tan
518,Tazewell RDF,East Peoria,Tazewell,61611,40.68181,-89.51613,"Waste Management, Inc.",Closed,6701428,8,Yes,1.049,12.588,Reciprocating Engine,0.0678,0.81324,darkblue
518,Tazewell RDF,East Peoria,Tazewell,61611,40.68181,-89.51613,"Waste Management, Inc.",Closed,6701428,8,Yes,1.049,12.588,Reciprocating Engine,0.0226,0.27108,darkblue
519,Washington LF Inc.,Washington,Tazewell,61571,40.6901,-89.4163,Peoria Disposal Company,Closed,1529502,4,No,,0,Unknown,,0,tan
1868,Peoria City/County Landfills #1 and #2,Brimfield,Peoria,61517,40.742538,-89.798606,"City of Peoria, IL; County of Peoria, IL",Open,8671265,9,Yes,2.007,24.084,Unknown,,0,skyblue
1868,Peoria City/County Landfills #1 and #2,Brimfield,Peoria,61517,40.742538,-89.798606,"City of Peoria, IL; County of Peoria, IL",Open,8671265,9,Yes,2.007,24.084,Reciprocating Engine,,0,skyblue
509,Peoria Disposal Company #1,Peoria,Peoria,61528,40.7655,-89.6983,Peoria Disposal Company,Closed,889200,3,No,,0,Unknown,,0,tan
489,K & H Disposal Landfill,Donovan,Iroquois,60931,40.8833,-87.6161,"Republic Services, Inc.",Closed,8887255,9,No,,0,Unknown,,0,tan
497,Livingston LF,Pontiac,Livingston,61764,40.93178,-88.65735,"Republic Services, Inc.",Open,53783549,23,Yes,10.559,126.708,Gas Turbine,0.0000,0,skyblue
497,Livingston LF,Pontiac,Livingston,61764,40.93178,-88.65735,"Republic Services, Inc.",Open,53783549,23,Yes,10.559,126.708,Gas Turbine,0.6777,8.1324,skyblue
2308,Knox County LF #3,Oneida,Knox,61467,41.015,-90.248,"Knox County, IL",Open,3311836,6,No,,0,Unknown,,0,brown
